# Mass z=0.00 z=0.01 z=0.02 z=0.03 z=0.04 z=0.05 z=0.06 z=0.07 z=0.08 z=0.09 z=0.10 z=0.11 z=0.12 z=0.13 z=0.14 z=0.15 z=0.16 z=0.17 z=0.18 z=0.19 z=0.20 z=0.21 z=0.22 z=0.23 z=0.24 z=0.25 z=0.26 z=0.27 z=0.28 z=0.29 z=0.30 z=0.31 z=0.32 z=0.33 z=0.34 z=0.35 z=0.36 z=0.37 z=0.38 z=0.39 z=0.40 z=0.41 z=0.42 z=0.43 z=0.44 z=0.45 z=0.46 z=0.47 z=0.48 z=0.49 z=0.50 z=0.51 z=0.52 z=0.53 z=0.54 z=0.55 z=0.56 z=0.57 z=0.58 z=0.59 z=0.60 z=0.61 z=0.62 z=0.63 z=0.64 z=0.65 z=0.66 z=0.67 z=0.68 z=0.69 z=0.70 z=0.71 z=0.72 z=0.73 z=0.74 z=0.75 z=0.76 z=0.77 z=0.78 z=0.79 z=0.80 z=0.81 z=0.82 z=0.83 z=0.84 z=0.85 z=0.86 z=0.87 z=0.88 z=0.89 z=0.90 z=0.91 z=0.92 z=0.93 z=0.94 z=0.95 z=0.96 z=0.97 z=0.98 z=0.99 z=1.00
1.000000000000000000e+10 2.472744223481199710e-01 2.474220782791685946e-01 2.475741782729264651e-01 2.477306182286623804e-01 2.478912590027055884e-01 2.480559794337541535e-01 2.482246381852295236e-01 2.483971261927536145e-01 2.485733115351212719e-01 2.487530579111456586e-01 2.489362875605827807e-01 2.491228639602564299e-01 2.493126208472912220e-01 2.495055099151104738e-01 2.497013996843929495e-01 2.499001675484521512e-01 2.501017146754854203e-01 2.503059220225663517e-01 2.505126845025555382e-01 2.507218919203437757e-01 2.509334483072749311e-01 2.511472371993860864e-01 2.513631791891364764e-01 2.515811367266925225e-01 2.518010354373004245e-01 2.520227613880746120e-01 2.522462421703126068e-01 2.524713458678115585e-01 2.526980037371195364e-01 2.529261083232853258e-01 2.531555974460940051e-01 2.533863111730548789e-01 2.536182099851890803e-01 2.538512132154477352e-01 2.540852122387974310e-01 2.543201116330576772e-01 2.545558427872278706e-01 2.547922993243378897e-01 2.550294073058630984e-01 2.552670935208278813e-01 2.555052879668294197e-01 2.557438708053154097e-01 2.559827793099456739e-01 2.562219591626582194e-01 2.564613100895096198e-01 2.567007333872027841e-01 2.569401847544267037e-01 2.571796011427243123e-01 2.574188688604656106e-01 2.576579482409568356e-01 2.578967600049745790e-01 2.581352359458366497e-01 2.583732819636317402e-01 2.586108469709478830e-01 2.588478876514734295e-01 2.590842868229877860e-01 2.593200284225529728e-01 2.595550099720089765e-01 2.597892029744848230e-01 2.600225029911729657e-01 2.602548785074563775e-01 2.604862683201851214e-01 2.607165865728858223e-01 2.609458017871980617e-01 2.611738571646161078e-01 2.614006503324035058e-01 2.616261735465897353e-01 2.618503566151802464e-01 2.620731475254536313e-01 2.622944935535925226e-01 2.625143189384859799e-01 2.627325839648375627e-01 2.629492494081601683e-01 2.631642647355055264e-01 2.633775534596086709e-01 2.635890922103514278e-01 2.637988252802418443e-01 2.640067001466724350e-01 2.642126826990983668e-01 2.644167232507079746e-01 2.646187464650721632e-01 2.648187436645143000e-01 2.650166611474698564e-01 2.652124577695181840e-01 2.654060822424655908e-01 2.655975002045056210e-01 2.657866724986466256e-01 2.659735463681775491e-01 2.661580973157293140e-01 2.663402957197457677e-01 2.665200543264481525e-01 2.666973892916405520e-01 2.668722517502027936e-01 2.670445758890073740e-01 2.672143583685038237e-01 2.673815583373061466e-01 2.675461385193053654e-01 2.677080549385701391e-01 2.678672847935052448e-01 2.680238090194684286e-01 2.681775698333700442e-01
1.047128548050898552e+10 2.372744313047293885e-01 2.374168074444397980e-01 2.375634309579018888e-01 2.377142017231512194e-01 2.378689855840495637e-01 2.380276652708582241e-01 2.381901055334374184e-01 2.383562005383046689e-01 2.385258236747077876e-01 2.386988432762914836e-01 2.388751851496533352e-01 2.390547172434046019e-01 2.392372785366020660e-01 2.394228237872650655e-01 2.396112255814748515e-01 2.398023666583470048e-01 2.399961505801330997e-01 2.401924631263427368e-01 2.403912029096509084e-01 2.405922643098650782e-01 2.407955540361521318e-01 2.410009607220684746e-01 2.412084067932169229e-01 2.414177608814028486e-01 2.416289504641576380e-01 2.418418661692746385e-01 2.420564377694799096e-01 2.422725381201310535e-01 2.424901017512420820e-01 2.427090244666093299e-01 2.429292468295687624e-01 2.431506139913182374e-01 2.433730886808129767e-01 2.435965920802888318e-01 2.438210204505773249e-01 2.440462816025157078e-01 2.442723098225907941e-01 2.444990018087849215e-01 2.447262869091387238e-01 2.449540937909104599e-01 2.451823564087896867e-01 2.454109577346501314e-01 2.456398386992735272e-01 2.458689460141389727e-01 2.460981833823335518e-01 2.463274556343461041e-01 2.465567202847657735e-01 2.467859165092737839e-01 2.470149349222882096e-01 2.472437372870395500e-01 2.474722467835034356e-01 2.477003979408838041e-01 2.479281009893063159e-01 2.481553054170687334e-01 2.483819702989293887e-01 2.486079821856376215e-01 2.488333266751077133e-01 2.490579039388518268e-01 2.492816868192734014e-01 2.495045749318275385e-01 2.497265385810698013e-01 2.499475175660769433e-01 2.501674299726012185e-01 2.503862460846952298e-01 2.506039100280971765e-01 2.508203240327714356e-01 2.510354803419682646e-01 2.512493114672684769e-01 2.514617674103200584e-01 2.516727972967315874e-01 2.518823284541443774e-01 2.520903223301250717e-01 2.522967415486592757e-01 2.525015377305487863e-01 2.527046363484756197e-01 2.529060158937779246e-01 2.531056224461347703e-01 2.533034059176611508e-01 2.534993327485827175e-01 2.536933558268507083e-01 2.538854019167872678e-01 2.540754633962268860e-01 2.542634884830647923e-01 2.544494380930510946e-01 2.546332622315348737e-01 2.548149277504390131e-01 2.549943980478591721e-01 2.551716212300992881e-01 2.553465751725161881e-01 2.555192300175529452e-01 2.556895029979555645e-01 2.558574085374292206e-01 2.560229010020516061e-01 2.561859170485465409e-01 2.563464528314862156e-01 2.565044692294501383e-01 2.566599307245114314e-01 2.568127953817402331e-01 2.569630412365410121e-01 2.571106500041633880e-01 2.572555653863164427e-01
1.096478196143182945e+10 2.276822078788155179e-01 2.278194772228617493e-01 2.279608055712333547e-01 2.281060966877182516e-01 2.282552211773495876e-01 2.284080655633405066e-01 2.285645004037834549e-01 2.287244230230942310e-01 2.288877118469392069e-01 2.290542397563570809e-01 2.292239359133856347e-01 2.293966725828123776e-01 2.295722939318614320e-01 2.297507574867058977e-01 2.299319398195104058e-01 2.301157287726561251e-01 2.303020302674429198e-01 2.304907347084961811e-01 2.306817442996742240e-01 2.308749577455285196e-01 2.310702844391748501e-01 2.312676178178364461e-01 2.314668821232527263e-01 2.316679519714563151e-01 2.318707565597850628e-01 2.320751909418593550e-01 2.322811869950308084e-01 2.324886221791994390e-01 2.326974341244198441e-01 2.329075218309894779e-01 2.331188283935336225e-01 2.333312040386213981e-01 2.335446135752131114e-01 2.337589799318818551e-01 2.339742040989244154e-01 2.341901969855977317e-01 2.344068956853885555e-01 2.346241998952871277e-01 2.348420420612098158e-01 2.350603527241816315e-01 2.352790695592462955e-01 2.354980783421594392e-01 2.357173234687132690e-01 2.359367526662181636e-01 2.361562734380976414e-01 2.363757940876226871e-01 2.365952738435843639e-01 2.368146539201377299e-01 2.370338292321214069e-01 2.372527628380071418e-01 2.374713803512506216e-01 2.376896188218518835e-01 2.379073927489679108e-01 2.381246521742924893e-01 2.383413583959773097e-01 2.385574016851109702e-01 2.387727690582209239e-01 2.389873634100766198e-01 2.392011588448635095e-01 2.394140588288780624e-01 2.396260353734253057e-01 2.398370293332614811e-01 2.400469625981021260e-01 2.402558070269374402e-01 2.404635077745139182e-01 2.406699714623769804e-01 2.408751903059277721e-01 2.410790994128821918e-01 2.412816507497975438e-01 2.414827951593704891e-01 2.416824630430979004e-01 2.418806169166167752e-01 2.420772211792283635e-01 2.422722294962838530e-01 2.424655693152474034e-01 2.426572208147088072e-01 2.428471318781684207e-01 2.430352546991604856e-01 2.432215562882655557e-01 2.434059919648647041e-01 2.435884906292599961e-01 2.437690455591707273e-01 2.439476068788551943e-01 2.441241374092847638e-01 2.442985885115507294e-01 2.444709281406622081e-01 2.446411221650505452e-01 2.448091195316750013e-01 2.449749003459912033e-01 2.451384345574509627e-01 2.452996437861028611e-01 2.454585407256948959e-01 2.456150828197212477e-01 2.457692091468290374e-01 2.459209153384095126e-01 2.460701639925002571e-01 2.462169212305072852e-01 2.463611470922398849e-01 2.465028204389221878e-01 2.466419236995874842e-01 2.467784020734960782e-01
1.148153621496884155e+10 2.184828721038528654e-01 2.186152035844030894e-01 2.187514137104917267e-01 2.188914100322860434e-01 2.190350677008585656e-01 2.191822769355419864e-01 2.193329138374491005e-01 2.194868788133964577e-01 2.196440550662505375e-01 2.198043199347242405e-01 2.199676057350261338e-01 2.201337888959766786e-01 2.203027187159467826e-01 2.204743552109796056e-01 2.206485788583096297e-01 2.208252823710015189e-01 2.210043739937739282e-01 2.211857485709188553e-01 2.213693117823065382e-01 2.215549664229014004e-01 2.217426245707361521e-01 2.219321841856275457e-01 2.221235713116744281e-01 2.223166663494812734e-01 2.225114000946274428e-01 2.227076718984871417e-01 2.229054156585073831e-01 2.231045132869468317e-01 2.233049053438466158e-01 2.235064939623039593e-01 2.237092245732609230e-01 2.239129524546031591e-01 2.241176443377905225e-01 2.243232248096534154e-01 2.245295994246905846e-01 2.247366820707935586e-01 2.249444125501604830e-01 2.251526934918624545e-01 2.253614602563668301e-01 2.255706452548850161e-01 2.257801896527775742e-01 2.259899820214340271e-01 2.261999700358542642e-01 2.264101024289060793e-01 2.266202903332023566e-01 2.268304454633023326e-01 2.270405286586393012e-01 2.272504830104229157e-01 2.274602077091632535e-01 2.276696669849179733e-01 2.278787888597672007e-01 2.280875127048404838e-01 2.282957572092953191e-01 2.285034729635248008e-01 2.287106233217841567e-01 2.289171022609261530e-01 2.291228979850170600e-01 2.293279161838668034e-01 2.295321321398754721e-01 2.297354529835347881e-01 2.299378523247905537e-01 2.301392721196209856e-01 2.303396379255353010e-01 2.305389230045682969e-01 2.307370736373782483e-01 2.309340006262243783e-01 2.311296961478147283e-01 2.313240978090192745e-01 2.315171594859748438e-01 2.317088336175082974e-01 2.318990536542460401e-01 2.320877830965516753e-01 2.322749880419573421e-01 2.324606241010179486e-01 2.326446207061620697e-01 2.328269595592968588e-01 2.330075903550756777e-01 2.331864674259172820e-01 2.333635583737515840e-01 2.335388208096538520e-01 2.337121857980833939e-01 2.338836473727448351e-01 2.340531575497147299e-01 2.342206809036595783e-01 2.343861702114267420e-01 2.345495944278061518e-01 2.347109218046421475e-01 2.348701021130635003e-01 2.350271175485512676e-01 2.351819379082945582e-01 2.353344890992194183e-01 2.354847820972527095e-01 2.356327772684013167e-01 2.357784160645098326e-01 2.359216935840871832e-01 2.360625741287354917e-01 2.362010253514484903e-01 2.363370091920650728e-01 2.364705053327236239e-01 2.366014968506252591e-01 2.367299304600524179e-01
1.202264434617413139e+10 2.096604133598505559e-01 2.097879708955225075e-01 2.099192344007314304e-01 2.100541151074689639e-01 2.101924925102269248e-01 2.103342604295409535e-01 2.104793002573044358e-01 2.106275154064693733e-01 2.107787936129129347e-01 2.109330165813920743e-01 2.110901195921476292e-01 2.112499830904701892e-01 2.114124614450033912e-01 2.115775169029421032e-01 2.117450337642156344e-01 2.119149093912134352e-01 2.120870543153165200e-01 2.122613676479100098e-01 2.124377584238484606e-01 2.126161333113543161e-01 2.127964070681379882e-01 2.129784819105234595e-01 2.131622856738623339e-01 2.133477043416855401e-01 2.135346701993953988e-01 2.137230867731889361e-01 2.139128898913174315e-01 2.141039657791806439e-01 2.142962577620278752e-01 2.144896710405852780e-01 2.146841532053548052e-01 2.148795645461419601e-01 2.150758735695683654e-01 2.152730064484078554e-01 2.154708731286903156e-01 2.156693903713697014e-01 2.158685005818727076e-01 2.160681092637034284e-01 2.162681545154960527e-01 2.164685706155461686e-01 2.166693019961420663e-01 2.168702400158481758e-01 2.170713354495058811e-01 2.172725380285977226e-01 2.174737623499828354e-01 2.176749234777933251e-01 2.178759837581489833e-01 2.180768880212569649e-01 2.182775396902968956e-01 2.184779040550116069e-01 2.186779115213925984e-01 2.188775035988270723e-01 2.190766030706010059e-01 2.192751610871803425e-01 2.194731428930447592e-01 2.196704461552760890e-01 2.198670600463220048e-01 2.200628931197005922e-01 2.202579217473445150e-01 2.204520565554001776e-01 2.206452726485541027e-01 2.208375131208528408e-01 2.210287070652981190e-01 2.212188289899090221e-01 2.214078263907932886e-01 2.215956140417898734e-01 2.217821840735071104e-01 2.219674765059465316e-01 2.221514470634572413e-01 2.223340496721319393e-01 2.225152207976538177e-01 2.226949248532953951e-01 2.228731295544394142e-01 2.230497923673719907e-01 2.232248447146500392e-01 2.233982696690679226e-01 2.235700187341679301e-01 2.237400482503832111e-01 2.239083264321217459e-01 2.240748130483334322e-01 2.242394413471778536e-01 2.244022059874643260e-01 2.245630608608260304e-01 2.247219721486053701e-01 2.248788941002654862e-01 2.250337965756514236e-01 2.251866501197521131e-01 2.253374053187171266e-01 2.254860463209243659e-01 2.256325428094059504e-01 2.257768248763940555e-01 2.259189018018178119e-01 2.260587367191262687e-01 2.261962734047359425e-01 2.263315064212240713e-01 2.264644017527302211e-01 2.265949284872562919e-01 2.267230503828162325e-01 2.268487479428228926e-01 2.269720048287821590e-01 2.270927692908210338e-01
1.258925411794166183e+10 2.011977943794661383e-01 2.013207359731934987e-01 2.014472181988491151e-01 2.015771558618905945e-01 2.017104326111162638e-01 2.018469457756497387e-01 2.019865817987185341e-01 2.021292470239997585e-01 2.022748334913760382e-01 2.024232271786819137e-01 2.025743661518560890e-01 2.027281347308105275e-01 2.028843922894520146e-01 2.030431030679969717e-01 2.032041551057147122e-01 2.033674502053189059e-01 2.035329011467002791e-01 2.037004111492605185e-01 2.038698924770103726e-01 2.040412554723082805e-01 2.042144175604971579e-01 2.043892849651280375e-01 2.045657873038549679e-01 2.047438159399996294e-01 2.049233045553389976e-01 2.051041607315486626e-01 2.052863221366652280e-01 2.054696791810478873e-01 2.056541777975578467e-01 2.058397261878441020e-01 2.060262739440799351e-01 2.062136863140641707e-01 2.064019334420434948e-01 2.065909430307560080e-01 2.067806292393591927e-01 2.069709116097036283e-01 2.071617350386184275e-01 2.073530078557895562e-01 2.075446707299516136e-01 2.077366598035702006e-01 2.079289225591138268e-01 2.081213531350388501e-01 2.083139052331994256e-01 2.085065295800591911e-01 2.086991440784992935e-01 2.088916670805334164e-01 2.090840623361936990e-01 2.092762762987931402e-01 2.094682165641180427e-01 2.096598493819475661e-01 2.098511075169963713e-01 2.100419344519650622e-01 2.102322569529377905e-01 2.104220267563194080e-01 2.106112108333100252e-01 2.107997105256043391e-01 2.109875157675181745e-01 2.111745380405561645e-01 2.113607547135930853e-01 2.115460797587893349e-01 2.117304896758798460e-01 2.119139287246790959e-01 2.120963294067934046e-01 2.122776673330860064e-01 2.124578912979701861e-01 2.126369198407926653e-01 2.128147450414648312e-01 2.129913092581307843e-01 2.131665699963651295e-01 2.133404825728945631e-01 2.135129864259342480e-01 2.136840468210792765e-01 2.138536330087619231e-01 2.140217042311532702e-01 2.141881939009339375e-01 2.143530863218183202e-01 2.145163347944855081e-01 2.146778975486996199e-01 2.148377434314743539e-01 2.149958342437979786e-01 2.151521054272940436e-01 2.153065521488262690e-01 2.154591301575307372e-01 2.156098070999974137e-01 2.157585387510148334e-01 2.159052957904471493e-01 2.160500509619114051e-01 2.161927556659097582e-01 2.163333958699009685e-01 2.164719411780648417e-01 2.166083257652555716e-01 2.167425572465296324e-01 2.168746013685100005e-01 2.170044041844369498e-01 2.171319597236226195e-01 2.172572356269517335e-01 2.173802023318024967e-01 2.175008253269998526e-01 2.176190859415810808e-01 2.177349683605564745e-01 2.178484223927117380e-01
1.318256738556404686e+10 1.930784458499775202e-01 1.931969235941869145e-01 1.933187836372509127e-01 1.934439442465424042e-01 1.935722930494741256e-01 1.937037307930628838e-01 1.938381487444138795e-01 1.939754561042809911e-01 1.941155490019084162e-01 1.942583175940905682e-01 1.944037025655555861e-01 1.945515919751361067e-01 1.947018501322578532e-01 1.948544430525588622e-01 1.950092624302727506e-01 1.951662143119030357e-01 1.953252136857169807e-01 1.954861677331397873e-01 1.956489918175409459e-01 1.958135997739656464e-01 1.959799116761183624e-01 1.961478375226356208e-01 1.963173087059150446e-01 1.964882217646156948e-01 1.966605116990744473e-01 1.968340900290007633e-01 1.970088961712859743e-01 1.971848246025735829e-01 1.973618237132042930e-01 1.975398046377536687e-01 1.977187188301975929e-01 1.978984364288230990e-01 1.980789290872313757e-01 1.982601259975048935e-01 1.984419453491789442e-01 1.986243093852190778e-01 1.988071653762709667e-01 1.989904244384370635e-01 1.991740296514046549e-01 1.993579190186141881e-01 1.995420428626498988e-01 1.997262980960820278e-01 1.999106411810789019e-01 2.000950238382592783e-01 2.002793671254624874e-01 2.004635926204390572e-01 2.006476653764158735e-01 2.008315333745614717e-01 2.010151083071240741e-01 2.011983572963400579e-01 2.013812154393425924e-01 2.015636280451196805e-01 2.017455257373032829e-01 2.019268608763284123e-01 2.021076020001656981e-01 2.022876541087976210e-01 2.024670077054732675e-01 2.026455772578669157e-01 2.028233410367807910e-01 2.030002162286808076e-01 2.031761806328015729e-01 2.033511796936925409e-01 2.035251491999524598e-01 2.036980657357637670e-01 2.038698794693621641e-01 2.040405125041317713e-01 2.042099568667878340e-01 2.043781571887677284e-01 2.045450726846789469e-01 2.047106599775792846e-01 2.048748614272547508e-01 2.050376431018139378e-01 2.051989757022977257e-01 2.053588201756220977e-01 2.055171119195609852e-01 2.056738363412958515e-01 2.058289485174453481e-01 2.059824084607685679e-01 2.061341856692561758e-01 2.062842438583508409e-01 2.064325206633510490e-01 2.065790116556900369e-01 2.067236744216601751e-01 2.068664779384202790e-01 2.070073795534218275e-01 2.071463506915084407e-01 2.072833661962139307e-01 2.074183782898986750e-01 2.075513746288205064e-01 2.076823247710335718e-01 2.078111668698541248e-01 2.079379069150524839e-01 2.080625131140755590e-01 2.081849337498777597e-01 2.083051623264012275e-01 2.084231681107497069e-01 2.085389228147598584e-01 2.086523935661692697e-01 2.087635625269035344e-01 2.088724143484196050e-01 2.089789004216458523e-01
1.380384264602886581e+10 1.852878031081640064e-01 1.854019641517683781e-01 1.855193558693805089e-01 1.856398998753065743e-01 1.857634876121251055e-01 1.858900231547006843e-01 1.860194023771621907e-01 1.861515372655749290e-01 1.862863278364353670e-01 1.864236683299059505e-01 1.865635018926402600e-01 1.867057201925162169e-01 1.868501923989539237e-01 1.869968861048369180e-01 1.871456965734912548e-01 1.872965339101123061e-01 1.874493152683424368e-01 1.876039516572198529e-01 1.877603614062460513e-01 1.879184616778048211e-01 1.880781751671482260e-01 1.882394154317941493e-01 1.884021156317106926e-01 1.885661772749034626e-01 1.887315366175336129e-01 1.888981090000017016e-01 1.890658354977223787e-01 1.892346145433231597e-01 1.894043968405320910e-01 1.895750963881374929e-01 1.897466663776966045e-01 1.899189817578657291e-01 1.900920155719533489e-01 1.902656984735438817e-01 1.904399524965180723e-01 1.906147025162681918e-01 1.907898980542546419e-01 1.909654529796799560e-01 1.911413126327977385e-01 1.913174168738386027e-01 1.914937186622207022e-01 1.916701176795267969e-01 1.918465729868148451e-01 1.920230372997422108e-01 1.921994346876199078e-01 1.923756898900791934e-01 1.925517691650061869e-01 1.927276219449901018e-01 1.929031639271900356e-01 1.930783630299570675e-01 1.932531566547169288e-01 1.934274918064792792e-01 1.936013028288754434e-01 1.937745427537118925e-01 1.939471815307820257e-01 1.941191277990779174e-01 1.942903724525841258e-01 1.944608329950696934e-01 1.946304885035784749e-01 1.947992592623302155e-01 1.949671242785309955e-01 1.951340301929530563e-01 1.952999159629779657e-01 1.954647590305539362e-01 1.956285110038447905e-01 1.957910973551361677e-01 1.959525100567324762e-01 1.961126959568429695e-01 1.962716159020080897e-01 1.964292277497471650e-01 1.965854767210876708e-01 1.967403296470536245e-01 1.968937585938309864e-01 1.970457261490894396e-01 1.971961696860373703e-01 1.973450755995085626e-01 1.974924007113960656e-01 1.976381067232300115e-01 1.977821638002479343e-01 1.979245374614671260e-01 1.980651675280238055e-01 1.982040498847824905e-01 1.983411439315590774e-01 1.984764198493192688e-01 1.986098365987739311e-01 1.987413662841427675e-01 1.988709857469929954e-01 1.989986480454150886e-01 1.991243423978669713e-01 1.992480383469906746e-01 1.993696779181524381e-01 1.994892655226254974e-01 1.996067716794577562e-01 1.997221468536119759e-01 1.998353840367491918e-01 1.999464540866159323e-01 2.000553299250802386e-01 2.001619802225702016e-01 2.002663879833105343e-01 2.003685382718689567e-01 2.004683840841988696e-01
1.445439770745928001e+10 1.778135175525740186e-01 1.779235052345742862e-01 1.780365784180650557e-01 1.781526619456231531e-01 1.782716509223040424e-01 1.783934526601242965e-01 1.785179674325432786e-01 1.786451099409062104e-01 1.787747838974601267e-01 1.789068875282643079e-01 1.790413662934975392e-01 1.791781153455896392e-01 1.793170086316442924e-01 1.794580151416226288e-01 1.796010336201029345e-01 1.797459780559406417e-01 1.798927677216103638e-01 1.800413173289850122e-01 1.801915480377545842e-01 1.803433801864111341e-01 1.804967390573049002e-01 1.806515415649241063e-01 1.808077226290643602e-01 1.809651885194253074e-01 1.811238766992405436e-01 1.812837062107464647e-01 1.814446196984431658e-01 1.816065194478917455e-01 1.817693583365182497e-01 1.819330531584483213e-01 1.820975587316034372e-01 1.822627547233182654e-01 1.824286154549835948e-01 1.825950730235916530e-01 1.827620531192197528e-01 1.829294831905425023e-01 1.830973148820082552e-01 1.832654647866728825e-01 1.834338803634400772e-01 1.836025033233987802e-01 1.837712890664908449e-01 1.839401400377309037e-01 1.841090177401359940e-01 1.842778758857704091e-01 1.844466414198646931e-01 1.846152421769681196e-01 1.847836455233720920e-01 1.849518022834290287e-01 1.851196320530137107e-01 1.852871034805133876e-01 1.854541562409986466e-01 1.856207389205862535e-01 1.857867894347065840e-01 1.859522615401089929e-01 1.861171264499389411e-01 1.862812964174249131e-01 1.864447625649444107e-01 1.866074454719067188e-01 1.867693249271498712e-01 1.869303242078997063e-01 1.870904234417869183e-01 1.872495704713560138e-01 1.874077073057204001e-01 1.875648121433720894e-01 1.877208380870109550e-01 1.878757137905839869e-01 1.880294311713497923e-01 1.881819392439943728e-01 1.883332004055624509e-01 1.884831736883387510e-01 1.886318071041114819e-01 1.887790682166654022e-01 1.889249303715301309e-01 1.890693577385429702e-01 1.892122896526013953e-01 1.893537133908118619e-01 1.894935874805267484e-01 1.896318752293021936e-01 1.897685474836491859e-01 1.899035714601068903e-01 1.900368891515276104e-01 1.901684966759844275e-01 1.902983552189269068e-01 1.904264360473041373e-01 1.905526997677421952e-01 1.906771191068121207e-01 1.907996728003836517e-01 1.909203147603091011e-01 1.910390356445580418e-01 1.911558050096873462e-01 1.912705686436276531e-01 1.913833294318530720e-01 1.914940600600373299e-01 1.916027131255249871e-01 1.917092811259828722e-01 1.918137364689187219e-01 1.919160532318993917e-01 1.920162015277423473e-01 1.921141652137697275e-01 1.922099297179003241e-01 1.923034496621876532e-01
1.513561248436207199e+10 1.706441844805943187e-01 1.707501387084139066e-01 1.708590394788487843e-01 1.709708147410873291e-01 1.710853631198477054e-01 1.712025950726483170e-01 1.713224150728207829e-01 1.714447404688988208e-01 1.715694784869669087e-01 1.716965312397227550e-01 1.718258463600103314e-01 1.719573223658661665e-01 1.720908378926583326e-01 1.722263631643277948e-01 1.723638003169434274e-01 1.725030670572996749e-01 1.726440847267123879e-01 1.727867716231348272e-01 1.729310515991894226e-01 1.730768480308612634e-01 1.732240887458507683e-01 1.733726938271591689e-01 1.735225999454924894e-01 1.736737179234830175e-01 1.738259863958571683e-01 1.739793279851954699e-01 1.741336868178498809e-01 1.742889689350100579e-01 1.744451292523482300e-01 1.746020872904689991e-01 1.747597993938941885e-01 1.749181498466872708e-01 1.750771141442559464e-01 1.752366258165530821e-01 1.753966140212984415e-01 1.755570087291400960e-01 1.757177635761683343e-01 1.758787978523895512e-01 1.760400610021192191e-01 1.762014965791006416e-01 1.763630622347571175e-01 1.765246631710095104e-01 1.766862631801939532e-01 1.768478169718919746e-01 1.770092542398719049e-01 1.771705058427824053e-01 1.773315401622035936e-01 1.774923093692367115e-01 1.776527368389862749e-01 1.778127918934588603e-01 1.779724164476531034e-01 1.781315605685278025e-01 1.782901655861443002e-01 1.784481860396717190e-01 1.786055942648023254e-01 1.787623060974446176e-01 1.789183127426353381e-01 1.790735378831064262e-01 1.792279619281820224e-01 1.793815110526744971e-01 1.795341664212588284e-01 1.796858770790478177e-01 1.798365879699798386e-01 1.799862779617925346e-01 1.801349016943121772e-01 1.802823908248078477e-01 1.804287372150754076e-01 1.805738920005252601e-01 1.807178190442552679e-01 1.808604785047745744e-01 1.810018211045937020e-01 1.811418151184730485e-01 1.812804350861584313e-01 1.814176467050774844e-01 1.815533912545300443e-01 1.816876567981400847e-01 1.818204035207990621e-01 1.819515962638506568e-01 1.820812065666853052e-01 1.822092032415728868e-01 1.823355304336493343e-01 1.824601844239540083e-01 1.825831281511037518e-01 1.827043338599136924e-01 1.828237638268590537e-01 1.829413913519774282e-01 1.830571969607157901e-01 1.831711354395538782e-01 1.832831987675890284e-01 1.833933565436381974e-01 1.835015582052245409e-01 1.836078051696775071e-01 1.837120721494517050e-01 1.838143138222873840e-01 1.839145222149255743e-01 1.840126712386995211e-01 1.841087360818657870e-01 1.842026881964650142e-01 1.842945123039398947e-01 1.843841941497902093e-01 1.844716900003228188e-01
