# Mass sigma dsigma2/dM
1.000000000000000000e+10 3.794313234434537829e+00 -3.031751597370088630e-10
1.047128548050898552e+10 3.775932025266480974e+00 -2.875936954453012632e-10
1.096478196143182945e+10 3.757584964121063464e+00 -2.728065819503774000e-10
1.148153621496884155e+10 3.739272068125900184e+00 -2.587758341360849847e-10
1.202264434617413139e+10 3.720993257918317365e+00 -2.454632361805617196e-10
1.258925411794166183e+10 3.702748512028186223e+00 -2.328305462802872851e-10
1.318256738556404686e+10 3.684537968969222366e+00 -2.208412674700764520e-10
1.380384264602886581e+10 3.666361887363025929e+00 -2.094623220636753320e-10
1.445439770745928001e+10 3.648220499064132483e+00 -1.986641129968191851e-10
1.513561248436207199e+10 3.630113890568528401e+00 -1.884189431943235679e-10
1.584893192461110878e+10 3.612042025692173031e+00 -1.786992654945147262e-10
1.659586907437563133e+10 3.594004887978579976e+00 -1.694773432484672621e-10
1.737800828749376297e+10 3.576002600072815785e+00 -1.607264855054023690e-10
1.819700858609982681e+10 3.558035396567351683e+00 -1.524224574845385102e-10
1.905460717963244247e+10 3.540103478812532511e+00 -1.445435475811802632e-10
1.995262314968882751e+10 3.522206910061475682e+00 -1.370692443515325813e-10
2.089296130854040909e+10 3.504345668678132686e+00 -1.299789787053110246e-10
2.187761623949551773e+10 3.486519798082957422e+00 -1.232522562308779717e-10
2.290867652767770004e+10 3.468729475723703715e+00 -1.168698701876744034e-10
2.398832919019494629e+10 3.450974917244359119e+00 -1.108146401779184909e-10
2.511886431509582138e+10 3.433256236026802632e+00 -1.050707638560830268e-10
2.630267991895381546e+10 3.415573438566526399e+00 -9.962262365365515112e-11
2.754228703338163376e+10 3.397926561220364849e+00 -9.445454371837925855e-11
2.884031503126611710e+10 3.380315762538345314e+00 -8.955168803949228647e-11
3.019951720402019119e+10 3.362741243175167760e+00 -8.490076114538501121e-11
3.162277660168379211e+10 3.345203108801336089e+00 -8.048951336569429479e-11
3.311311214825907516e+10 3.327701377073955857e+00 -7.630578763802596205e-11
3.467368504525309753e+10 3.310236116869846867e+00 -7.233747013166757820e-11
3.630780547701017761e+10 3.292807503966953764e+00 -6.857329795437775107e-11
3.801893963205612946e+10 3.275415706179480857e+00 -6.500318062498903830e-11
3.981071705534969330e+10 3.258060786202743753e+00 -6.161752776460914597e-11
4.168693834703346252e+10 3.240742783288594886e+00 -5.840669454914246089e-11
4.365158322401665497e+10 3.223461831943639666e+00 -5.536139995783042644e-11
4.570881896148751831e+10 3.206218109900063951e+00 -5.247329019579440068e-11
4.786300923226380157e+10 3.189011711481014366e+00 -4.973462370357218199e-11
5.011872336272714996e+10 3.171842679792490571e+00 -4.713766992086064905e-11
5.248074602497734070e+10 3.154711133997106565e+00 -4.467489404787489425e-11
5.495408738576248169e+10 3.137617244990145604e+00 -4.233947667114934676e-11
5.754399373371566772e+10 3.120561110992933429e+00 -4.012511621712616026e-11
6.025595860743568420e+10 3.103542786106377349e+00 -3.802552834804552942e-11
6.309573444801942444e+10 3.086562398773491367e+00 -3.603462922593282372e-11
6.606934480075964355e+10 3.069620107861593894e+00 -3.414693022666170317e-11
6.918309709189363098e+10 3.052715996099106377e+00 -3.235727076793042088e-11
7.244359600749891663e+10 3.035850137758519196e+00 -3.066049083853166227e-11
7.585775750291851807e+10 3.019022681994896651e+00 -2.905172868078850278e-11
7.943282347242822266e+10 3.002233759461400808e+00 -2.752658795862655086e-11
8.317637711026708984e+10 2.985483438720868854e+00 -2.608078033832068319e-11
8.709635899560797119e+10 2.968771835000001857e+00 -2.471009875953694816e-11
9.120108393559115601e+10 2.952099098045214198e+00 -2.341072015402343590e-11
9.549925860214369202e+10 2.935465315087431026e+00 -2.217904401715316223e-11
1.000000000000000000e+11 2.918870580610788412e+00 -2.101149146392123019e-11
1.047128548050898438e+11 2.902315042786501209e+00 -1.990474805800906608e-11
1.096478196143182831e+11 2.885798804735068224e+00 -1.885575190196749452e-11
1.148153621496884003e+11 2.869321955696176651e+00 -1.786146596458953852e-11
1.202264434617413177e+11 2.852884638466779865e+00 -1.691904297637108324e-11
1.258925411794166107e+11 2.836486961915647420e+00 -1.602586484508969524e-11
1.318256738556410065e+11 2.820129018281069211e+00 -1.517934367730471858e-11
1.380384264602886658e+11 2.803810947707105594e+00 -1.437705229586890263e-11
1.445439770745928040e+11 2.787532856367452183e+00 -1.361674775676168495e-11
1.513561248436207275e+11 2.771294844685480818e+00 -1.289621615488352767e-11
