# LamCen  +/-    N     +/-   b    +/-  b tur.  +/-
# SPEC1
4892.91 0.02  12.71  0.03  18.5  1.3   0.0  0.0   Ly_a
4903.92 0.02  13.03  0.02  37.6  1.6   0.0  0.0   Ly_a
4917.17 0.02  13.05  0.02  41.2  1.8   0.0  0.0   Ly_a
4926.08 0.01  13.49  0.01  32.0  0.6   0.0  0.0   Ly_a
4944.27 0.05  12.63  0.04  41.0  3.9   0.0  0.0   Ly_a
4953.37 0.01  13.77  0.01  32.9  0.4   0.0  0.0   Ly_a
4961.66 0.01  13.46  0.01  25.7  0.5   0.0  0.0   Ly_a
4973.89 0.01  13.35  0.01  26.3  0.5   0.0  0.0   Ly_a
4987.14 0.06  12.51  0.05  34.9  4.5   0.0  0.0   Ly_a
5009.17 0.01  12.79  0.02  20.0  1.1   0.0  0.0   Ly_a
# SPEC2
4863.90 0.00  14.91  0.05  22.5  0.4   0.0  0.0   Ly_a
4896.85 0.00  14.51  0.03  22.9  0.4   0.0  0.0   Ly_a
4906.05 0.00  13.86  0.01  23.7  0.3   0.0  0.0   Ly_a
4922.44 0.01  13.59  0.01  37.4  0.6   0.0  0.0   Ly_a
4926.46 0.01  12.90  0.02  19.1  0.9   0.0  0.0   Ly_a
4945.88 0.01  12.82  0.02  21.8  1.3   0.0  0.0   Ly_a
4954.65 0.02  12.65  0.03  23.8  1.8   0.0  0.0   Ly_a
4963.28 0.00  14.29  0.02  26.1  0.3   0.0  0.0   Ly_a
4975.64 0.04  12.70  0.03  36.7  3.0   0.0  0.0   Ly_a
4989.16 0.02  12.78  0.02  24.2  1.5   0.0  0.0   Ly_a
# SPEC3
4867.39 0.03  12.62  0.03  24.0  2.1   0.0  0.0   Ly_a
4896.95 0.00  14.51  0.03  22.0  0.4   0.0  0.0   Ly_a
4906.56 0.00  14.96  0.04  28.6  0.4   0.0  0.0   Ly_a
4922.61 0.04  12.49  0.05  27.9  4.0   0.0  0.0   Ly_a
4926.89 0.02  12.97  0.02  31.5  1.4   0.0  0.0   Ly_a
4946.19 0.00  14.16  0.01  27.5  0.3   0.0  0.0   Ly_a
4956.85 0.07  12.54  0.05  40.0  5.1   0.0  0.0   Ly_a
4963.38 0.04  12.59  0.04  32.2  3.9   0.0  0.0   Ly_a
4976.40 0.01  12.99  0.01  20.8  0.8   0.0  0.0   Ly_a
4994.61 0.01  12.73  0.02  15.4  0.9   0.0  0.0   Ly_a
# SPEC4
4868.54 0.00  14.45  0.02  25.0  0.4   0.0  0.0   Ly_a
4899.08 0.01  13.51  0.01  34.1  0.6   0.0  0.0   Ly_a
4906.68 0.01  13.13  0.01  29.4  1.0   0.0  0.0   Ly_a
4923.17 0.03  12.88  0.02  39.2  2.6   0.0  0.0   Ly_a
4928.09 0.00  14.28  0.03  18.0  0.3   0.0  0.0   Ly_a
4950.33 0.00  13.58  0.01  17.1  0.3   0.0  0.0   Ly_a
4956.91 0.06  12.51  0.05  36.2  5.4   0.0  0.0   Ly_a
4965.01 0.04  12.57  0.04  30.7  4.0   0.0  0.0   Ly_a
4978.71 0.02  13.08  0.01  33.5  1.3   0.0  0.0   Ly_a
4996.30 0.03  12.75  0.03  31.0  2.4   0.0  0.0   Ly_a
# SPEC5
4872.29 0.02  13.13  0.01  36.2  1.3   0.0  0.0   Ly_a
4899.18 0.00  13.86  0.01  16.7  0.3   0.0  0.0   Ly_a
4907.68 0.01  12.89  0.02  22.0  1.0   0.0  0.0   Ly_a
4924.87 0.02  12.59  0.03  21.3  1.8   0.0  0.0   Ly_a
4929.61 0.01  13.35  0.01  29.3  0.7   0.0  0.0   Ly_a
4951.39 0.03  12.66  0.03  28.5  2.5   0.0  0.0   Ly_a
4958.68 0.05  12.64  0.04  39.4  4.1   0.0  0.0   Ly_a
4969.13 0.01  12.99  0.02  24.4  1.0   0.0  0.0   Ly_a
4979.22 0.05  12.63  0.04  37.0  4.0   0.0  0.0   Ly_a
4996.42 0.01  13.29  0.01  32.5  0.8   0.0  0.0   Ly_a
# SPEC6
4882.39 0.01  13.54  0.01  35.5  0.6   0.0  0.0   Ly_a
4901.70 0.00  13.39  0.01  19.7  0.4   0.0  0.0   Ly_a
4908.78 0.00  13.81  0.01  18.0  0.3   0.0  0.0   Ly_a
4924.86 0.00  14.37  0.02  28.6  0.4   0.0  0.0   Ly_a
4930.25 0.08  12.59  0.06  49.6  8.7   0.0  0.0   Ly_a
4951.76 0.02  12.80  0.02  23.3  1.4   0.0  0.0   Ly_a
4959.14 0.02  12.77  0.02  23.0  1.6   0.0  0.0   Ly_a
4969.64 0.01  13.52  0.01  33.5  0.6   0.0  0.0   Ly_a
4982.27 0.04  12.55  0.04  29.0  3.4   0.0  0.0   Ly_a
5002.71 0.00  15.57  0.07  27.3  0.5   0.0  0.0   Ly_a
# SPEC7
4889.97 0.03  12.87  0.02  38.5  2.3   0.0  0.0   Ly_a
4901.91 0.00  15.81  0.08  31.1  0.6   0.0  0.0   Ly_a
4912.35 0.04  12.71  0.03  34.3  3.2   0.0  0.0   Ly_a
4925.78 0.01  13.41  0.01  32.6  0.6   0.0  0.0   Ly_a
4934.33 0.03  12.73  0.03  31.7  2.7   0.0  0.0   Ly_a
4953.17 0.01  13.64  0.01  29.0  0.4   0.0  0.0   Ly_a
4960.24 0.00  14.06  0.01  27.4  0.3   0.0  0.0   Ly_a
4972.08 0.01  13.32  0.01  19.5  0.4   0.0  0.0   Ly_a
4982.89 0.00  13.44  0.01  16.6  0.3   0.0  0.0   Ly_a
5005.33 0.00  14.27  0.02  28.3  0.3   0.0  0.0   Ly_a
# SPEC8
4892.41 0.01  13.08  0.02  31.8  1.3   0.0  0.0   Ly_a
4903.22 0.00  13.50  0.01  22.7  0.4   0.0  0.0   Ly_a
4913.23 0.01  13.02  0.02  25.7  1.0   0.0  0.0   Ly_a
4925.87 0.00  13.63  0.01  24.7  0.4   0.0  0.0   Ly_a
4942.05 0.00  14.34  0.02  23.2  0.3   0.0  0.0   Ly_a
4953.24 0.01  13.30  0.01  39.1  1.0   0.0  0.0   Ly_a
