# IRAC4:
# 8.0 microns
# low: 700.0
# high: 4083.2
# ------------
# IRAC3:
# 5.8 microns
# low: 200.0
# high: 500.2
# ------------
# IRAC2:
# 4.5 microns
# low: 60.0
# high: 300.0
# ------------
# IRAC1:
# 3.6 microns
# low: 30.0
# high: 1000.0
# ------------
# ID        X_pos        Y_pos          Mag_1           Mag_err_1       Mag_2           Mag_err_2       Mag_3              Mag_err_3            Mag_4           Mag_err_4
 926        1491.77      1387.67        9.02101         0.00345          9.42639        0.00410         10.97550           0.01229               9.91135        0.00875
2452        1409.18      1354.36        8.97806         0.00340          9.82471        0.00499         11.70880           0.02154              11.26080        0.02645
2798        1342.56      1424.18        8.39905         0.00258          8.67613        0.00289         10.31650           0.00795               9.08413        0.00477
2816        1393.54      1335.12        8.10742         0.00221          8.81219        0.00307         10.66280           0.00987              10.17230        0.01068
2944        1390.55      1221.14        9.76006         0.00490         10.52830        0.00694         12.36960           0.03605              11.76390        0.04043
3020        1332.32      1264.68        6.98619         0.00131          7.80880        0.00192          9.74599           0.00549               9.20414        0.00514
4211        1423.29      1345.53        6.99355         0.00132          7.41025        0.00160          9.00967           0.00365               8.13189        0.00261
6838        1061.43       925.71        7.72321         0.00185          8.55108        0.00272         10.50860           0.00880               9.96386        0.00912
6954         751.15      1394.17        6.60143         0.00110          6.98812        0.00132          8.50653           0.00279               7.32036        0.00166
8790         811.02      1401.02        6.79799         0.00120          7.29552        0.00152          8.86020           0.00336               7.61221        0.00194
